sales,date,region
1638.0,2018-02-06,north
1647.0,2018-02-06,south
1731.0,2018-02-06,east
1557.0,2018-02-06,west
5794.2,2018-02-06,north
5294.7,2018-02-06,south
5754.24,2018-02-06,east
5794.2,2018-02-06,west
1305.0,2018-02-06,north
1400.0,2018-02-06,south
1457.5,2018-02-06,east
1380.0,2018-02-06,west
1629.0,2018-02-06,north
1722.0,2018-02-06,south
1731.0,2018-02-06,east
1509.0,2018-02-06,west
662.5,2018-02-06,north
682.5,2018-02-06,south
632.5,2018-02-06,east
698.75,2018-02-06,west
2659.67,2018-02-06,north
2834.32,2018-02-06,south
2774.44,2018-02-06,east
2859.27,2018-02-06,west
1082.56,2018-02-06,north
1148.23,2018-02-06,south
1058.68,2018-02-06,east
1164.15,2018-02-06,west
1587.0,2018-02-07,north
1698.0,2018-02-07,south
1542.0,2018-02-07,east
1635.0,2018-02-07,west
5054.9400000000005,2018-02-07,north
5114.88,2018-02-07,south
5234.76,2018-02-07,east
5584.41,2018-02-07,west
1485.0,2018-02-07,north
1490.0,2018-02-07,south
1342.5,2018-02-07,east
1310.0,2018-02-07,west
1599.0,2018-02-07,north
1641.0,2018-02-07,south
1503.0,2018-02-07,east
1644.0,2018-02-07,west
716.25,2018-02-07,north
681.25,2018-02-07,south
722.5,2018-02-07,east
630.0,2018-02-07,west
2799.3900000000003,2018-02-07,north
2899.19,2018-02-07,south
2744.5,2018-02-07,east
2524.94,2018-02-07,west
1030.82,2018-02-07,north
1068.6299999999999,2018-02-07,south
1110.42,2018-02-07,east
1066.64,2018-02-07,west
1602.0,2018-02-08,north
1536.0,2018-02-08,south
1503.0,2018-02-08,east
1701.0,2018-02-08,west
5894.1,2018-02-08,north
5004.99,2018-02-08,south
5144.85,2018-02-08,east
5134.86,2018-02-08,west
1397.5,2018-02-08,north
1375.0,2018-02-08,south
1392.5,2018-02-08,east
1285.0,2018-02-08,west
1800.0,2018-02-08,north
1626.0,2018-02-08,south
1605.0,2018-02-08,east
1530.0,2018-02-08,west
630.0,2018-02-08,north
661.25,2018-02-08,south
723.75,2018-02-08,east
638.75,2018-02-08,west
2495.0,2018-02-08,north
2594.8,2018-02-08,south
2679.63,2018-02-08,east
2994.0,2018-02-08,west
1124.35,2018-02-08,north
996.99,2018-02-08,south
1060.67,2018-02-08,east
995.0,2018-02-08,west
1758.0,2018-02-09,north
1662.0,2018-02-09,south
1782.0,2018-02-09,east
1515.0,2018-02-09,west
5964.03,2018-02-09,north
5834.16,2018-02-09,south
5524.47,2018-02-09,east
5834.16,2018-02-09,west
1485.0,2018-02-09,north
1420.0,2018-02-09,south
1390.0,2018-02-09,east
1447.5,2018-02-09,west
1764.0,2018-02-09,north
1620.0,2018-02-09,south
1629.0,2018-02-09,east
1674.0,2018-02-09,west
722.5,2018-02-09,north
647.5,2018-02-09,south
738.75,2018-02-09,east
656.25,2018-02-09,west
2819.35,2018-02-09,north
2994.0,2018-02-09,south
2864.26,2018-02-09,east
2549.8900000000003,2018-02-09,west
1018.88,2018-02-09,north
1074.6,2018-02-09,south
1144.25,2018-02-09,east
1030.82,2018-02-09,west
1662.0,2018-02-10,north
1557.0,2018-02-10,south
1650.0,2018-02-10,east
1674.0,2018-02-10,west
5084.91,2018-02-10,north
5474.52,2018-02-10,south
5164.83,2018-02-10,east
5224.77,2018-02-10,west
1500.0,2018-02-10,north
1405.0,2018-02-10,south
1440.0,2018-02-10,east
1277.5,2018-02-10,west
1773.0,2018-02-10,north
1707.0,2018-02-10,south
1731.0,2018-02-10,east
1635.0,2018-02-10,west
682.5,2018-02-10,north
687.5,2018-02-10,south
648.75,2018-02-10,east
732.5,2018-02-10,west
2679.63,2018-02-10,north
2849.29,2018-02-10,south
2724.54,2018-02-10,east
2739.51,2018-02-10,west
1192.01,2018-02-10,north
1134.3,2018-02-10,south
1108.43,2018-02-10,east
1154.2,2018-02-10,west
1554.0,2018-02-11,north
1587.0,2018-02-11,south
1563.0,2018-02-11,east
1764.0,2018-02-11,west
5174.82,2018-02-11,north
5774.22,2018-02-11,south
5334.66,2018-02-11,east
5074.92,2018-02-11,west
1447.5,2018-02-11,north
1290.0,2018-02-11,south
1357.5,2018-02-11,east
1250.0,2018-02-11,west
1767.0,2018-02-11,north
1533.0,2018-02-11,south
1650.0,2018-02-11,east
1545.0,2018-02-11,west
715.0,2018-02-11,north
628.75,2018-02-11,south
681.25,2018-02-11,east
675.0,2018-02-11,west
2599.79,2018-02-11,north
2509.9700000000003,2018-02-11,south
2784.42,2018-02-11,east
2734.52,2018-02-11,west
996.99,2018-02-11,north
1128.33,2018-02-11,south
1080.57,2018-02-11,east
1152.21,2018-02-11,west
1758.0,2018-02-12,north
1608.0,2018-02-12,south
1569.0,2018-02-12,east
1653.0,2018-02-12,west
5334.66,2018-02-12,north
5424.57,2018-02-12,south
5104.89,2018-02-12,east
5144.85,2018-02-12,west
1250.0,2018-02-12,north
1330.0,2018-02-12,south
1292.5,2018-02-12,east
1325.0,2018-02-12,west
1623.0,2018-02-12,north
1563.0,2018-02-12,south
1593.0,2018-02-12,east
1527.0,2018-02-12,west
652.5,2018-02-12,north
627.5,2018-02-12,south
652.5,2018-02-12,east
723.75,2018-02-12,west
2539.9100000000003,2018-02-12,north
2964.06,2018-02-12,south
2894.2000000000003,2018-02-12,east
2609.77,2018-02-12,west
1150.22,2018-02-12,north
1140.27,2018-02-12,south
1040.77,2018-02-12,east
1008.93,2018-02-12,west
1572.0,2018-02-13,north
1716.0,2018-02-13,south
1773.0,2018-02-13,east
1725.0,2018-02-13,west
5204.79,2018-02-13,north
5834.16,2018-02-13,south
5154.84,2018-02-13,east
5164.83,2018-02-13,west
1367.5,2018-02-13,north
1492.5,2018-02-13,south
1497.5,2018-02-13,east
1462.5,2018-02-13,west
1734.0,2018-02-13,north
1716.0,2018-02-13,south
1770.0,2018-02-13,east
1536.0,2018-02-13,west
643.75,2018-02-13,north
630.0,2018-02-13,south
672.5,2018-02-13,east
643.75,2018-02-13,west
2919.15,2018-02-13,north
2849.29,2018-02-13,south
2684.62,2018-02-13,east
2495.0,2018-02-13,west
996.99,2018-02-13,north
1076.59,2018-02-13,south
1122.36,2018-02-13,east
996.99,2018-02-13,west
1767.0,2018-02-14,north
1710.0,2018-02-14,south
1698.0,2018-02-14,east
1512.0,2018-02-14,west
5074.92,2018-02-14,north
